zip,city,cnty_fips_cd,county,urban_rural_ind,st_cd,st_nm,region_hhs_id,region_hhs_nm,div_cens_id,div_cens_nm,region_cens_id,region_cens_nm,lat_nbr,lon_nbr,x_coord_albers_nbr,y_coord_albers_nbr,
50247,State Center,127,Marshall,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.0119,-93.1748,0.35656441,0.00870888,0
50251,Sully,99,Jasper,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.5755,-92.8551,0.36303883,0.00276442,0
50263,Waukee,49,Dallas,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.601,-93.8644,0.35075441,-0.00113853,0
50311,Des Moines,153,Polk,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.6007,-93.6654,0.35315172,-0.00030137,0
50315,Des Moines,153,Polk,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.5447,-93.619,0.3540432,-0.00104665,0
50323,Urbandale,153,Polk,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.6295,-93.805,0.35130115,-0.00040768,0
50327,Pleasant Hill,153,Polk,U,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,41.5899,-93.5017,0.35518533,0.00021407,0
50423,Britt,81,Hancock,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.1026,-93.8045,0.34258879,0.02443005,0
50435,Floyd,67,Floyd,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.1505,-92.7535,0.35460111,0.02964219,0
50459,Northwood,195,Worth,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.4445,-93.2343,0.34720728,0.0325577,0
50475,Sheffield,69,Franklin,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,42.8895,-93.2211,0.35071402,0.02327116,0
50483,Wesley,109,Kossuth,R,IA,Iowa,7,Kansas City,4,West North Central,2,Midwest,43.0926,-93.9912,0.34045578,0.02349451,0
